"","start_hour","Offense.Parent.Group","n_starts","start_norm","n_reports","report_norm"
"204","07","HOMICIDE OFFENSES",30,0.375,34,0.641509433962264
"205","07","HUMAN TRAFFICKING",2,0.1,4,0.666666666666667
"206","07","KIDNAPPING/ABDUCTION",94,0.412280701754386,67,0.51937984496124
"207","07","LARCENY-THEFT",31488,0.649840057785574,31275,0.802025900756507
"208","07","LIQUOR LAW VIOLATIONS",96,0.312703583061889,105,0.369718309859155
"209","07","MOTOR VEHICLE THEFT",6313,0.853223408568725,5756,0.790008234971178
"210","07","PEEPING TOM",13,0.371428571428571,11,0.478260869565217
"211","07","PORNOGRAPHY/OBSCENE MATERIAL",18,0.144,24,0.521739130434783
"212","07","PROSTITUTION OFFENSES",277,0.436908517350158,298,0.513793103448276
"213","07","ROBBERY",1819,0.774701873935264,1833,0.845479704797048
"214","07","SEX OFFENSES",327,0.222903885480573,387,0.615262321144674
"215","07","SEX OFFENSES, CONSENSUAL",13,0.196969696969697,18,0.818181818181818
"216","07","STOLEN PROPERTY OFFENSES",405,0.511363636363636,457,0.750410509031199
"217","07","TRESPASS OF REAL PROPERTY",2464,0.675623800383877,2439,0.792140305293927
"218","07","WEAPON LAW VIOLATIONS",581,0.504340277777778,596,0.552875695732839
"219","08","ANIMAL CRUELTY",8,0.285714285714286,5,0.294117647058824
"220","08","ARSON",133,0.636363636363636,134,0.740331491712707
"221","08","ASSAULT OFFENSES",12517,0.691814513900403,11184,0.764979480164159
"222","08","BAD CHECKS",478,0.183071620068939,458,0.613941018766756
"223","08","BRIBERY",3,1,2,0.666666666666667
"224","08","BURGLARY/BREAKING&ENTERING",10737,0.654535479151427,10204,0.904529740271253
"225","08","COUNTERFEITING/FORGERY",355,0.228002569043031,352,0.629695885509839
"226","08","CURFEW/LOITERING/VAGRANCY VIOLATIONS",82,0.640625,67,0.51937984496124
"227","08","DESTRUCTION/DAMAGE/VANDALISM OF PROPERTY",8834,0.719498289623717,8552,0.892693110647182
"228","08","DRIVING UNDER THE INFLUENCE",1126,0.402286530903894,1084,0.399116347569956
"229","08","DRUG/NARCOTIC OFFENSES",2332,0.776556776556777,2126,0.73487729001037
"230","08","EMBEZZLEMENT",169,0.252994011976048,81,0.373271889400922
"231","08","EXTORTION/BLACKMAIL",68,0.303571428571429,59,0.686046511627907
"232","08","FAMILY OFFENSES, NONVIOLENT",911,0.583226632522407,842,0.85395537525355
"233","08","FRAUD OFFENSES",4939,0.248116145885663,4604,0.803911297363367
"234","08","GAMBLING OFFENSES",5,1,3,0.75
"235","08","HOMICIDE OFFENSES",40,0.5,37,0.69811320754717
"236","08","HUMAN TRAFFICKING",2,0.1,4,0.666666666666667
"237","08","KIDNAPPING/ABDUCTION",103,0.451754385964912,101,0.782945736434108
"238","08","LARCENY-THEFT",34389,0.709710040243525,36106,0.925913578663931
"239","08","LIQUOR LAW VIOLATIONS",189,0.615635179153095,166,0.584507042253521
"240","08","MOTOR VEHICLE THEFT",6954,0.939856737396946,6873,0.943315948394181
"241","08","PEEPING TOM",7,0.2,13,0.565217391304348
"242","08","PORNOGRAPHY/OBSCENE MATERIAL",38,0.304,31,0.673913043478261
"243","08","PROSTITUTION OFFENSES",534,0.842271293375394,439,0.756896551724138
"244","08","ROBBERY",1976,0.841567291311755,1889,0.871309963099631
"245","08","SEX OFFENSES",455,0.310156782549421,430,0.68362480127186
"246","08","SEX OFFENSES, CONSENSUAL",10,0.151515151515152,13,0.590909090909091
"247","08","STOLEN PROPERTY OFFENSES",491,0.619949494949495,460,0.755336617405583
"248","08","TRESPASS OF REAL PROPERTY",2929,0.803125856868659,2573,0.835660928873011
"249","08","WEAPON LAW VIOLATIONS",752,0.652777777777778,680,0.630797773654917
"250","09","ANIMAL CRUELTY",17,0.607142857142857,16,0.941176470588235
"251","09","ARSON",127,0.607655502392344,135,0.74585635359116
