"","MCPP","year","n"
"432","JUDKINS PARK/NORTH BEACON HILL","2021",845
"433","JUDKINS PARK/NORTH BEACON HILL","2022",906
"434","JUDKINS PARK/NORTH BEACON HILL","2023",113
"435","LAKECITY","2008",1819
"436","LAKECITY","2009",1744
"437","LAKECITY","2010",1713
"438","LAKECITY","2011",1804
"439","LAKECITY","2012",1835
"440","LAKECITY","2013",1866
"441","LAKECITY","2014",1922
"442","LAKECITY","2015",1848
"443","LAKECITY","2016",1877
"444","LAKECITY","2017",1965
"445","LAKECITY","2018",2032
"446","LAKECITY","2019",1898
"447","LAKECITY","2020",2039
"448","LAKECITY","2021",2108
"449","LAKECITY","2022",2004
"450","LAKECITY","2023",211
"451","LAKEWOOD/SEWARD PARK","2008",446
"452","LAKEWOOD/SEWARD PARK","2009",381
"453","LAKEWOOD/SEWARD PARK","2010",341
"454","LAKEWOOD/SEWARD PARK","2011",439
"455","LAKEWOOD/SEWARD PARK","2012",355
"456","LAKEWOOD/SEWARD PARK","2013",416
"457","LAKEWOOD/SEWARD PARK","2014",463
"458","LAKEWOOD/SEWARD PARK","2015",413
"459","LAKEWOOD/SEWARD PARK","2016",395
"460","LAKEWOOD/SEWARD PARK","2017",361
"461","LAKEWOOD/SEWARD PARK","2018",315
"462","LAKEWOOD/SEWARD PARK","2019",261
"463","LAKEWOOD/SEWARD PARK","2020",374
"464","LAKEWOOD/SEWARD PARK","2021",338
"465","LAKEWOOD/SEWARD PARK","2022",244
"466","LAKEWOOD/SEWARD PARK","2023",34
"467","MADISON PARK","2008",191
"468","MADISON PARK","2009",211
"469","MADISON PARK","2010",198
"470","MADISON PARK","2011",222
"471","MADISON PARK","2012",198
"472","MADISON PARK","2013",216
"473","MADISON PARK","2014",250
"474","MADISON PARK","2015",251
"475","MADISON PARK","2016",308
"476","MADISON PARK","2017",204
"477","MADISON PARK","2018",203
"478","MADISON PARK","2019",192
"479","MADISON PARK","2020",330
"480","MADISON PARK","2021",229
"481","MADISON PARK","2022",234
"482","MADISON PARK","2023",35
"483","MADRONA/LESCHI","2008",1051
